issue_number,issue_title,assignees,status,source_line,note,issue_url
206,"M: Week 3,4 - L02 Baseline latency matrix (cloud + dev-server local model)","yta3216, GlowyBlack, ebabar5",Included with manual week assumption,Ehsan hours: 4-5,"Assigned to Week 3 because title spans [3, 4] and line has no week",https://github.com/EduAI-Lab/EduAI/issues/206
212,S: Week 3 - L08 Session context cap (optional),,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/212
213,S: Week 3 - L09 End-of-week smoke & handoff,,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/213
214,M: Week 3 - Create AI/RAG docs for team to read on,"superbolt08, Ayyhab",No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/214
214,M: Week 3 - Create AI/RAG docs for team to read on,"superbolt08, Ayyhab",Unresolved generic hours,Hours to complete: 5,No explicit username and not exactly one assignee,https://github.com/EduAI-Lab/EduAI/issues/214
230,M: Week 3 - Research LTI structure & funcitonality(format database schema around this),frostbitcactus,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/230
240,M: Week 3 - OAuth Architecture Proposal Doc,evanbones,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/240
241,Week 4,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/241
248,S: Week 3 - Vitest Path Bug Fix,ariqmuldi,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/248
252,Parent Issue: Week 4 - ADHD Assist Phase 2 + 2.5 (mode-conditional prompt + efficiency),Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/252
253,S: Week 4 - Add Chat.adhdAssist column to Prisma schema + migration,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/253
254,S: Week 4 - Create adhd-assist.ts with ADHD_ASSIST_POLICY_BLOCK constant,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/254
255,S: Week 4 - composeSystemPrompt helper + unit tests,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/255
256,S: Week 4 - Wire composeSystemPrompt into both chat.ts branches,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/256
257,S: Week 4 - Persist adhdAssist from request body to Chat.adhdAssist,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/257
258,S: Week 4 - Phase 2 manual QA: 3 standardised survey prompts x on/off,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/258
259,S: Week 4 - Bounded session digest for long threads (Form A §3b),Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/259
260,S: Week 4 - Summarise / cap oversized tool outputs before streamText,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/260
261,S: Week 4 - S4 tool-heavy scenario sanity run (Phase 2.5 validation),Ayyhab,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/261
262,S: Week 4 - IURA appendix scaffold: record §3b status + git SHA,Ayyhab,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/262
275,Parent Issue: Week 4 - Cross-app API wiring (schema unification follow-up),"abdullahmoh21, yta3216, GlowyBlack",Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/275
321,"M: Week 4,5 - Disable web search tool for EduAI assistant",,Excluded placeholder hours,Hours to complete (Week 4) [name]: n hours,"Placeholder value, not numeric work time",https://github.com/EduAI-Lab/EduAI/issues/321
321,"M: Week 4,5 - Disable web search tool for EduAI assistant",,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/321
327,L: Week 4 - Developing Figma with RBAC permission matrix,"yta3216, KitheK, GlowyBlack, ebabar5",Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/327
334,L: Week 4 - L10 Model-tier routing (small-default → escalate to tool-capable),superbolt08,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/334
341,S: Week 4 - Test CoursePlanner,,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/341
342,"S: Week 4,5 - Integrate changes from LTI-modified schema to current schema",frostbitcactus,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/342
346,M: Week 4 - AI Tutor auth migration (Phase 2a auth centralization),evanbones,Excluded placeholder hours,Hours to complete (Week 4): N hours [Evan],"Placeholder value, not numeric work time",https://github.com/EduAI-Lab/EduAI/issues/346
346,M: Week 4 - AI Tutor auth migration (Phase 2a auth centralization),evanbones,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/346
347,L: Week 4 - Question Maker auth migration (Phase 2b auth centralization),,Excluded placeholder hours,Hours to complete (Week 4): N hours [Evan],"Placeholder value, not numeric work time",https://github.com/EduAI-Lab/EduAI/issues/347
347,L: Week 4 - Question Maker auth migration (Phase 2b auth centralization),,No numeric implementation hours found,,Issue matched requested week but had no usable numeric hours entry,https://github.com/EduAI-Lab/EduAI/issues/347
419,S: Week 4 - Publish chat latency investigation findings (team docs),superbolt08,Missing hours entry,,Issue matched requested week but no hours-like line was found,https://github.com/EduAI-Lab/EduAI/issues/419
