week,github_username,hours,issue_number,issue_title,source_line,note,issue_url
"May 18-24, 2026",GlowyBlack,1.5,204,S: Week 3 - L00 Kickoff & branch (chat latency sprint),Hours to complete (Week 3) [Al-Ameen]: 1.5 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/204
"May 18-24, 2026",GlowyBlack,0.5,205,M: Week 3 - L01 Restore chat latency benchmark script,Hours to complete (Week 3) [Al-Ameen]: 0.5 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/205
"May 18-24, 2026",GlowyBlack,3.5,277,"M: Week 4 - Core: course read endpoints (fix GET /:id loader, add GET /:id/topics/:topicId, dual-auth existing topic routes)",Hours to Complete (Week 3): 3.5,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/277
"May 18-24, 2026",GlowyBlack,2.0,322,S: Week 3 - Completing ARA Excel Sheet,Hours to Complete: 2,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/322
"May 18-24, 2026",KitheK,2.0,131,"S: Week 2,3 - Coordinate wireframe/UI design with teammates",Hours to complete (Week 3): 2 [Kithe],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/131
"May 18-24, 2026",KitheK,2.5,204,S: Week 3 - L00 Kickoff & branch (chat latency sprint),Hours to complete (Week 3) [Kithe]: 2.5 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/204
"May 18-24, 2026",superbolt08,3.0,161,S Week 3: Deploy my.eduai.ok.ubc.ca,Hours to complete: 3,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/161
"May 18-24, 2026",superbolt08,2.0,193,S: Week 3 - Evaluate HelpMe chatbot RAG vs EduAI core,hours 2,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/193
"May 18-24, 2026",superbolt08,3.0,284,S: Week 3 - Research embeddings,Hours to complete: 3,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/284
"May 18-24, 2026",superbolt08,3.0,319,M: Week 3 - Communications Regarding Embeddings,Hours to complete (Week 3): 3 hours [Syed Saad Ali],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/319
"May 18-24, 2026",superbolt08,3.0,323,S: Week 3 - Hours for Creating #197,Hours: 3,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/323
"May 18-24, 2026",Whiteknight07,4.0,179,M: Week 3 - Add weekly team time reporting automation,Hours to complete: 4 hours [Whiteknight07],No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/179
"May 18-24, 2026",yta3216,5.0,102,"L: Week 2,3 - Initial (Pre RBAC) Develop Figma Wireframes for Future Unified Design",Hours to complete (Week 3) [Ye]: 5 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/102
"May 18-24, 2026",yta3216,2.0,131,"S: Week 2,3 - Coordinate wireframe/UI design with teammates",Hours to complete (Week 3): 2 [Ye],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/131
"May 18-24, 2026",yta3216,1.5,204,S: Week 3 - L00 Kickoff & branch (chat latency sprint),Hours to complete (Week 3) [Ye]: 1.5 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/204
"May 18-24, 2026",yta3216,4.0,205,M: Week 3 - L01 Restore chat latency benchmark script,Hours to complete (Week 3) [Ye]: 4 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/205
"May 18-24, 2026",yta3216,5.0,218,"L: Week 3,4 - Identify and implement reusable UI components and UBC assets",Hours to complete (Week 3): 5 hours [Ye],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/218
"May 18-24, 2026",yta3216,1.0,228,S: Week 3 - Add all issues mentioned during Tuesday meeting,Hours to complete (Week 3): 1 hours [Ye],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/228
"May 18-24, 2026",yta3216,2.5,251,S: Week 3 - chat-latency-bench.mjs not running properly,Hours to complete (Week 3) [Ye]: 2.5 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/251
"May 18-24, 2026",yta3216,1.5,263,S: Week 3 - Determine the need for package-lock.json inside core and extensions,Hours to complete (Week 3) [Ye]: 1.5 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/263
"May 18-24, 2026",yta3216,2.0,276,S: Week 3 - Core: requireServiceKey guard for service-to-service auth,Hours to complete: Week 3 [Ye] - 2,Manual parser accepted reordered hours syntax,https://github.com/EduAI-Lab/EduAI/issues/276
"May 25-31, 2026",abdullahmoh21,4.0,280,"L: Week 4, 5 - Core: questions endpoints (POST, GET list, GET /:id, PATCH /:id with idempotency)",Hours to complete: 4,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/280
"May 25-31, 2026",abdullahmoh21,5.0,293,"M: Week 4,5 - Core: resolveCourseAccess helper (TS) + answer-strip serializer",Hours to complete: 5,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/293
"May 25-31, 2026",evanbones,2.0,235,"S: Week 4 - on npm run dev local, auto seed data",Week 4 - Hours: 2 [Evan],Manual parser accepted weekhours hours syntax,https://github.com/EduAI-Lab/EduAI/issues/235
"May 25-31, 2026",evanbones,4.0,279,S: Week 4 - Core: POST /api/bug-reports,Hours to complete: 4,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/279
"May 25-31, 2026",evanbones,4.0,343,M: Week 4 - Core session validation endpoint (Phase 1 auth centralization),Hours to complete (Week 4): 4 hours [Evan Bowness],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/343
"May 25-31, 2026",evanbones,8.0,349,L: Week 4 - Unify Extension Auth,Hours to complete (Week 4): 8 hours [Evan Bowness],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/349
"May 25-31, 2026",frostbitcactus,5.0,278,M: Week 4 - Core: GET /api/courses/:id/enrollments (dual auth),Hours to complete: 5,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/278
"May 25-31, 2026",GlowyBlack,2.0,277,"M: Week 4 - Core: course read endpoints (fix GET /:id loader, add GET /:id/topics/:topicId, dual-auth existing topic routes)",Hours to Complete (Week 4): 2,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/277
"May 25-31, 2026",GlowyBlack,2.0,345,"S: Week 4  - Core: align course list/create/update APIs with unified schema (server.ts, schemas, materials)",Hours to complete: 2,No explicit week; assigned to title week,https://github.com/EduAI-Lab/EduAI/issues/345
"May 25-31, 2026",superbolt08,4.0,182,"S: Week 3,4 - Extend Prisma schema for routing telemetry",Hours to complete (Week 4): 4 hours [Syed Saad Ali],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/182
"May 25-31, 2026",superbolt08,8.0,197,"Parent Issue: Week 4 - Phase 0 routing MVP (telemetry, Auto router)",Hours to complete (Week 4): 8 hours [Syed Saad Ali],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/197
"May 25-31, 2026",superbolt08,2.0,269,S: Week 4 - Get embedding API Key,Hours to complete (Week 4): 2 hours [Syed Saad Ali],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/269
"May 25-31, 2026",superbolt08,2.0,357,S: Week 4 - Fix HTTPS dev login/logout session cookies (Better Auth),Hours to complete (Week 4): 2 hours [Syed Saad Ali],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/357
"May 25-31, 2026",superbolt08,12.0,359,"L: Week 4,5 - Latency logging",Hours to complete (Week 4): 12hours [Syed],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/359
"May 25-31, 2026",yta3216,6.0,218,"L: Week 3,4 - Identify and implement reusable UI components and UBC assets",Hours to complete (Week 4): 6 hours [Ye],Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/218
"May 25-31, 2026",yta3216,11.0,229,L: Week 4 - Dockerize All Tests,Hours to complete (Week 4) [Ye]: 11 hours,Manual parser accepted explicit hours syntax,https://github.com/EduAI-Lab/EduAI/issues/229
